regime,model_a,model_b,rows,signed_prediction_overlap,signed_prediction_overlap_status,error_correlation,error_correlation_status
stress,rank_vote,rank_vote,120,1.0,defined,1.0,defined
stress,rank_vote,redundant,120,0.525,defined,0.6716246691006715,defined
stress,rank_vote,regime_gate,120,0.5083333333333333,defined,0.7227546979776125,defined
stress,rank_vote,stable,120,0.5916666666666667,defined,0.5084901289631013,defined
stress,rank_vote,stacking,120,0.5666666666666667,defined,0.8712931664525456,defined
stress,rank_vote,static,120,0.575,defined,0.6851797602918981,defined
stress,rank_vote,trend,120,0.65,defined,0.3774099163470174,defined
stress,redundant,redundant,120,1.0,defined,1.0,defined
stress,redundant,regime_gate,120,0.9333333333333333,defined,0.9448078285528603,defined
stress,redundant,stable,120,0.7,defined,0.4180922423900567,defined
stress,redundant,stacking,120,0.8416666666666667,defined,0.7351936295298305,defined
stress,redundant,static,120,0.8333333333333334,defined,0.7953759703659906,defined
stress,redundant,trend,120,0.5916666666666667,defined,0.3818222798574068,defined
stress,regime_gate,regime_gate,120,1.0,defined,0.9999999999999998,defined
stress,regime_gate,stable,120,0.7666666666666667,defined,0.6839530435993236,defined
stress,regime_gate,stacking,120,0.8583333333333333,defined,0.8498991052196273,defined
stress,regime_gate,static,120,0.85,defined,0.88554120341653,defined
stress,regime_gate,trend,120,0.6083333333333333,defined,0.40709963620615147,defined
stress,stable,stable,120,1.0,defined,1.0,defined
stress,stable,stacking,120,0.775,defined,0.7276525024876885,defined
stress,stable,static,120,0.7333333333333333,defined,0.6412299454551361,defined
stress,stable,trend,120,0.525,defined,0.16655516352775815,defined
stress,stacking,stacking,120,1.0,defined,1.0,defined
stress,stacking,static,120,0.9416666666666667,defined,0.9100429762241483,defined
stress,stacking,trend,120,0.7166666666666667,defined,0.6029849545366279,defined
stress,static,static,120,1.0,defined,1.0,defined
stress,static,trend,120,0.7583333333333333,defined,0.7690168517597958,defined
stress,trend,trend,120,1.0,defined,1.0,defined
uncertain,bayesian,bayesian,8,1.0,defined,1.0,defined
uncertain,bayesian,defensive,8,0.5,defined,0.2841794978932443,defined
uncertain,bayesian,dynamic,8,0.625,defined,0.7572135076928602,defined
uncertain,bayesian,rank_vote,8,0.5,defined,0.8514154560934207,defined
uncertain,bayesian,redundant,8,0.5,defined,0.31048442500189316,defined
uncertain,bayesian,regime_gate,8,0.0,defined,0.7927849491457252,defined
uncertain,bayesian,stable,8,1.0,defined,0.9999999999945974,defined
uncertain,bayesian,stacking,8,0.875,defined,0.9023144662171708,defined
uncertain,bayesian,static,8,0.5,defined,0.6062216816037764,defined
uncertain,bayesian,trend,8,0.875,defined,0.8138123543096896,defined
uncertain,defensive,defensive,8,1.0,defined,1.0,defined
uncertain,defensive,dynamic,8,0.625,defined,0.828200058037781,defined
uncertain,defensive,rank_vote,8,0.75,defined,0.4458851017888083,defined
uncertain,defensive,redundant,8,0.75,defined,0.9991001336875681,defined
uncertain,defensive,regime_gate,8,0.0,defined,0.1984843799328005,defined
uncertain,defensive,stable,8,0.5,defined,0.28417637009014873,defined
uncertain,defensive,stacking,8,0.375,defined,0.5232744438089064,defined
uncertain,defensive,static,8,0.75,defined,0.9290192528737414,defined
uncertain,defensive,trend,8,0.375,defined,0.43053367358096084,defined
uncertain,dynamic,dynamic,8,1.0,defined,1.0,defined
uncertain,dynamic,rank_vote,8,0.875,defined,0.8365814240580924,defined
uncertain,dynamic,redundant,8,0.875,defined,0.8465660258377202,defined
uncertain,dynamic,regime_gate,8,0.0,defined,0.6461721331126037,defined
uncertain,dynamic,stable,8,0.625,defined,0.7572113680014022,defined
uncertain,dynamic,stacking,8,0.75,defined,0.902162261333578,defined
uncertain,dynamic,static,8,0.875,defined,0.976717376343488,defined
uncertain,dynamic,trend,8,0.75,defined,0.8215403016583528,defined
uncertain,rank_vote,rank_vote,8,1.0,defined,0.9999999999999999,defined
uncertain,rank_vote,redundant,8,1.0,defined,0.4786444749469077,defined
uncertain,rank_vote,regime_gate,8,0.0,defined,0.9554521818627212,defined
uncertain,rank_vote,stable,8,0.5,defined,0.8514145936589947,defined
uncertain,rank_vote,stacking,8,0.625,defined,0.98222960270146,defined
uncertain,rank_vote,static,8,1.0,defined,0.7248036557692783,defined
uncertain,rank_vote,trend,8,0.625,defined,0.9647535991610569,defined
uncertain,redundant,redundant,8,1.0,defined,0.9999999999999998,defined
uncertain,redundant,regime_gate,8,0.0,defined,0.23352492299424643,defined
uncertain,redundant,stable,8,0.5,defined,0.31048131343637536,defined
uncertain,redundant,stacking,8,0.625,defined,0.5539788244169073,defined
uncertain,redundant,static,8,1.0,defined,0.9410372996257217,defined
uncertain,redundant,trend,8,0.625,defined,0.4663410696045439,defined
uncertain,regime_gate,regime_gate,8,1.0,defined,0.9999999999999999,defined
uncertain,regime_gate,stable,8,0.0,defined,0.7927848481160085,defined
uncertain,regime_gate,stacking,8,0.0,defined,0.8980418399257202,defined
uncertain,regime_gate,static,8,0.0,defined,0.5050456208093178,defined
uncertain,regime_gate,trend,8,0.0,defined,0.8990370481535319,defined
uncertain,stable,stable,8,1.0,defined,1.0,defined
uncertain,stable,stacking,8,0.875,defined,0.9023134343945965,defined
uncertain,stable,static,8,0.5,defined,0.6062190673464589,defined
uncertain,stable,trend,8,0.875,defined,0.8138114576103098,defined
uncertain,stacking,stacking,8,1.0,defined,1.0,defined
uncertain,stacking,static,8,0.625,defined,0.7966416130354607,defined
uncertain,stacking,trend,8,1.0,defined,0.9583919470830404,defined
uncertain,static,static,8,1.0,defined,1.0,defined
uncertain,static,trend,8,0.625,defined,0.7102979869862815,defined
uncertain,trend,trend,8,1.0,defined,1.0,defined
