kind,baseline_net_return,median_net_return,percentile_5,percentile_95,worse_than_baseline,baseline_max_drawdown,median_max_drawdown,worst_max_drawdown,insolvent_paths,unreconciled_paths,no_trade_paths,replicates,interpretation
cost_multiplier,-0.1967726271960505,-0.22649588723390218,-0.22797886971515408,-0.2252252367267754,1.0,-0.3509534559113163,-0.37208020187767765,-0.37431770858483326,0,0,0,500,"worse_than_baseline is the frequency with which THIS perturbation model produced an outcome at or below the unperturbed path. It is not the probability of that outcome in the market: the perturbation family is an assumption, not a measurement."
delayed_trade,-0.1967726271960505,-0.19682289736355102,-0.1978130258198985,-0.19588775548227788,0.538,-0.3509534559113163,-0.35101734919710537,-0.35228581528140446,0,0,0,500,"worse_than_baseline is the frequency with which THIS perturbation model produced an outcome at or below the unperturbed path. It is not the probability of that outcome in the market: the perturbation family is an assumption, not a measurement."
execution_price,-0.1967726271960505,-0.19576841025116876,-0.23225479044505004,-0.16358583972379437,0.484,-0.3509534559113163,-0.35081024989263,-0.40016151133478395,0,0,0,500,"worse_than_baseline is the frequency with which THIS perturbation model produced an outcome at or below the unperturbed path. It is not the probability of that outcome in the market: the perturbation family is an assumption, not a measurement."
liquidity_haircut,-0.1967726271960505,-0.19280782622110348,-0.21618144888407842,-0.1696399831069385,0.38,-0.3509534559113163,-0.33538599340216224,-0.3663813080664653,0,0,0,500,"worse_than_baseline is the frequency with which THIS perturbation model produced an outcome at or below the unperturbed path. It is not the probability of that outcome in the market: the perturbation family is an assumption, not a measurement."
missing_trade,-0.1967726271960505,-0.19551337674132824,-0.25052337695210797,-0.13749795142137325,0.484,-0.3509534559113163,-0.3479759863646028,-0.41996490362838745,0,0,0,500,"worse_than_baseline is the frequency with which THIS perturbation model produced an outcome at or below the unperturbed path. It is not the probability of that outcome in the market: the perturbation family is an assumption, not a measurement."
partial_fill,-0.1967726271960505,-0.18077113441469816,-0.20495495226719357,-0.1563735937577277,0.144,-0.3509534559113163,-0.32739592009659907,-0.35810404421860365,0,0,0,500,"worse_than_baseline is the frequency with which THIS perturbation model produced an outcome at or below the unperturbed path. It is not the probability of that outcome in the market: the perturbation family is an assumption, not a measurement."
position_size,-0.1967726271960505,-0.19795840650823104,-0.21630634160930948,-0.17750644366838264,0.528,-0.3509534559113163,-0.351920455972637,-0.3834658524591579,0,0,0,500,"worse_than_baseline is the frequency with which THIS perturbation model produced an outcome at or below the unperturbed path. It is not the probability of that outcome in the market: the perturbation family is an assumption, not a measurement."
signal_timestamp,-0.1967726271960505,-0.1934843405370532,-0.33031676386895814,-0.009209094081453066,0.48,-0.3509534559113163,-0.3620569317176943,-0.5381358243510961,0,0,0,500,"worse_than_baseline is the frequency with which THIS perturbation model produced an outcome at or below the unperturbed path. It is not the probability of that outcome in the market: the perturbation family is an assumption, not a measurement."
trade_order,-0.1967726271960505,-0.19677262719605204,-0.1967726271960537,-0.1967726271960505,0.954,-0.3509534559113163,-0.33743865474245344,-0.5225690114509918,0,0,0,500,"worse_than_baseline is the frequency with which THIS perturbation model produced an outcome at or below the unperturbed path. It is not the probability of that outcome in the market: the perturbation family is an assumption, not a measurement."
